What is the capital of France?,Paris,London,Rome,Berlin,A
Who wrote 'Pan Tadeusz'?,Adam Mickiewicz,Juliusz Słowacki,Bolesław Prus,Henryk Sienkiewicz,A
What is the square root of 16?,4,5,6,7,A
Which ocean is the largest?,Atlantic,Pacific,Indian,Arctic,A
In which year did World War II start?,1939,1914,1945,1920,A
What is the chemical symbol for gold?,Au,Ag,Fe,Pb,A
Who was the first president of the USA?,George Washington,Abraham Lincoln,John Adams,Thomas Jefferson,A
What is the name of the highest mountain in the world?,Mount Everest,K2,Kilimanjaro,Mont Blanc,A
Which planet is closest to the Sun?,Mercury,Venus,Earth,Mars,A
How many legs does a spider have?,8,6,4,10,A
What is the capital of Japan?,Tokyo,Osaka,Kyoto,Nagoya,A
Who painted the Mona Lisa?,Leonardo da Vinci,Michelangelo,Vincent van Gogh,Pablo Picasso,A
What is the largest planet in our Solar System?,Jupiter,Earth,Saturn,Mars,A
Who discovered penicillin?,Alexander Fleming,Louis Pasteur,Marie Curie,Isaac Newton,A
What is the currency of the United Kingdom?,Pound,Dollar,Euro,Yen,A
Which country has the longest coastline?,Canada,Russia,Australia,China,A
Who is the author of 'Pride and Prejudice'?,Jane Austen,Charles Dickens,Charlotte Brontë,Mark Twain,A
What is the hardest natural substance on Earth?,Diamond,Gold,Iron,Silver,A
Which element does 'O' represent on the periodic table?,Oxygen,Hydrogen,Gold,Carbon,A
What is the largest continent by area?,Asia,Europe,Africa,Antarctica,A
In which country is the Great Barrier Reef located?,Australia,USA,China,India,A
What is the boiling point of water at sea level?,100°C,90°C,80°C,120°C,A
Who invented the lightbulb?,Thomas Edison,Nikola Tesla,Alexander Bell,Benjamin Franklin,A
Which country hosted the 2016 Summer Olympics?,Brazil,China,USA,Germany,A
What is the fastest land animal?,Cheetah,Lion,Horse,Eagle,A
How many colors are in a rainbow?,7,5,6,8,A
What is the smallest unit of life?,Cell,Tissue,Organ,Organism,A
Which is the largest desert in the world?,Sahara,Arabian,Arctic,Gobi,A
What is the main gas found in the air we breathe?,Nitrogen,Oxygen,Carbon Dioxide,Helium,A
How many bones are there in the adult human body?,206,205,210,190,A
Who is the author of 'The Odyssey'?,Homer,Virgil,Dante,Plato,A
What is the currency of Japan?,Yen,Yuan,Dollar,Won,A
What is the atomic number of Hydrogen?,1,2,3,4,A
Which planet is known as the Red Planet?,Mars,Earth,Jupiter,Saturn,A
What is the largest animal in the world?,Blue Whale,Elephant,Shark,Giraffe,A
What is the freezing point of water?,0°C,-10°C,5°C,10°C,A
Which vitamin is produced by the skin when exposed to sunlight?,Vitamin D,Vitamin C,Vitamin A,Vitamin B,A
In which country is the Eiffel Tower located?,France,Italy,Spain,Germany,A
Who discovered gravity?,Isaac Newton,Albert Einstein,Galileo Galilei,Nikola Tesla,A
